,RSS,adjKey,adjVal,kAktDephos,kAktPhos_kcat,kAktPhos_kcatB,kFourEBP1Dephos,kFourEBP1Phos,kFourEBP1PhosB,kIRS1Inact,kIRS1Phos,kPras40Dephos,kPras40Phos,kS6KDephos,kS6KPhos,kS6KPhosB,kTORPRAS,kTORTSC,kTSC2Dephos,kTSC2Phos
38,2.23322,kTSC2Phos,0.444,0.558658,5.83857,0.102825,22.8519,72.9257,4.12607,4.7687300000000015,99.9974,100.0,0.01,99.991,69.7083,2.87753,4.57484,0.0100831,41.4358,25.0819152
39,2.23322,kTSC2Phos,0.444,0.558658,5.83857,0.102825,22.8519,72.9257,4.12607,4.7687300000000015,99.9974,100.0,0.01,99.991,69.7083,2.87753,4.57484,0.0100831,41.4358,25.0819152
40,2.23322,kTSC2Phos,0.667,0.558736,5.839169999999998,0.102833,22.8493,72.9331,4.12607,4.7667199999999985,99.9846,100.0,0.01,100.0,69.6895,2.87679,4.57496,0.010126799999999998,62.2504,37.6793636
41,2.23322,kTSC2Phos,0.667,0.558736,5.839169999999998,0.102833,22.8493,72.9331,4.12607,4.7667199999999985,99.9846,100.0,0.01,100.0,69.6895,2.87679,4.57496,0.010126799999999998,62.2504,37.6793636
42,2.23322,kTSC2Phos,0.667,0.558736,5.839169999999998,0.102833,22.8493,72.9331,4.12607,4.7667199999999985,99.9846,100.0,0.01,100.0,69.6895,2.87679,4.57496,0.010126799999999998,62.2504,37.6793636
43,2.23322,kTSC2Phos,0.667,0.558736,5.839169999999998,0.102833,22.8493,72.9331,4.12607,4.7667199999999985,99.9846,100.0,0.01,100.0,69.6895,2.87679,4.57496,0.010126799999999998,62.2504,37.6793636
44,2.23322,kTSC2Phos,0.667,0.558736,5.839169999999998,0.102833,22.8493,72.9331,4.12607,4.7667199999999985,99.9846,100.0,0.01,100.0,69.6895,2.87679,4.57496,0.010126799999999998,62.2504,37.6793636
45,2.23322,kTSC2Phos,0.667,0.558736,5.839169999999998,0.102833,22.8493,72.9331,4.12607,4.7667199999999985,99.9846,100.0,0.01,100.0,69.6895,2.87679,4.57496,0.010126799999999998,62.2504,37.6793636
46,2.23322,kTSC2Phos,0.667,0.558736,5.839169999999998,0.102833,22.8493,72.9331,4.12607,4.7667199999999985,99.9846,100.0,0.01,100.0,69.6895,2.87679,4.57496,0.010126799999999998,62.2504,37.6793636
47,2.23322,kTSC2Phos,0.667,0.558736,5.839169999999998,0.102833,22.8493,72.9331,4.12607,4.7667199999999985,99.9846,100.0,0.01,100.0,69.6895,2.87679,4.57496,0.010126799999999998,62.2504,37.6793636
48,2.23322,kTSC2Phos,0.667,0.558736,5.839169999999998,0.102833,22.8493,72.9331,4.12607,4.7667199999999985,99.9846,100.0,0.01,100.0,69.6895,2.87679,4.57496,0.010126799999999998,62.2504,37.6793636
49,2.23322,kTSC2Phos,0.667,0.558736,5.839169999999998,0.102833,22.8493,72.9331,4.12607,4.7667199999999985,99.9846,100.0,0.01,100.0,69.6895,2.87679,4.57496,0.010126799999999998,62.2504,37.6793636
50,2.23322,kTSC2Phos,1.0,0.5585720000000001,5.83708,0.102801,22.8496,72.9238,4.12607,4.76971,100.0,100.0,0.01,99.9777,69.7038,2.87753,4.57437,0.01,93.3278,56.4908
51,2.23322,kTSC2Phos,1.0,0.5585720000000001,5.83708,0.102801,22.8496,72.9238,4.12607,4.76971,100.0,100.0,0.01,99.9777,69.7038,2.87753,4.57437,0.01,93.3278,56.4908
52,2.23322,kTSC2Phos,1.0,0.5585720000000001,5.83708,0.102801,22.8496,72.9238,4.12607,4.76971,100.0,100.0,0.01,99.9777,69.7038,2.87753,4.57437,0.01,93.3278,56.4908
53,2.23322,kTSC2Phos,1.0,0.5585720000000001,5.83708,0.102801,22.8496,72.9238,4.12607,4.76971,100.0,100.0,0.01,99.9777,69.7038,2.87753,4.57437,0.01,93.3278,56.4908
54,2.23322,kTSC2Phos,1.0,0.5585720000000001,5.83708,0.102801,22.8496,72.9238,4.12607,4.76971,100.0,100.0,0.01,99.9777,69.7038,2.87753,4.57437,0.01,93.3278,56.4908
55,2.23322,kTSC2Phos,1.0,0.5585720000000001,5.83708,0.102801,22.8496,72.9238,4.12607,4.76971,100.0,100.0,0.01,99.9777,69.7038,2.87753,4.57437,0.01,93.3278,56.4908
56,2.23322,kTSC2Phos,1.0,0.5585720000000001,5.83708,0.102801,22.8496,72.9238,4.12607,4.76971,100.0,100.0,0.01,99.9777,69.7038,2.87753,4.57437,0.01,93.3278,56.4908
57,2.23322,kTSC2Phos,1.0,0.5585720000000001,5.83708,0.102801,22.8496,72.9238,4.12607,4.76971,100.0,100.0,0.01,99.9777,69.7038,2.87753,4.57437,0.01,93.3278,56.4908
58,2.23322,kTSC2Phos,1.0,0.5585720000000001,5.83708,0.102801,22.8496,72.9238,4.12607,4.76971,100.0,100.0,0.01,99.9777,69.7038,2.87753,4.57437,0.01,93.3278,56.4908
59,2.23322,kTSC2Phos,1.0,0.5585720000000001,5.83708,0.102801,22.8496,72.9238,4.12607,4.76971,100.0,100.0,0.01,99.9777,69.7038,2.87753,4.57437,0.01,93.3278,56.4908
60,2.23451,kTSC2Phos,1.5,0.5931770000000001,5.80241,0.10293900000000003,22.9482,72.2769,4.1285,4.81971,99.6211,100.0,0.01,99.1631,69.6333,2.88659,4.53432,0.0121746,100.0,84.7362
61,2.23451,kTSC2Phos,1.5,0.5931770000000001,5.80241,0.10293900000000003,22.9482,72.2769,4.1285,4.81971,99.6211,100.0,0.01,99.1631,69.6333,2.88659,4.53432,0.0121746,100.0,84.7362
62,2.23451,kTSC2Phos,1.5,0.5931770000000001,5.80241,0.10293900000000003,22.9482,72.2769,4.1285,4.81971,99.6211,100.0,0.01,99.1631,69.6333,2.88659,4.53432,0.0121746,100.0,84.7362
63,2.23451,kTSC2Phos,1.5,0.5931770000000001,5.80241,0.10293900000000003,22.9482,72.2769,4.1285,4.81971,99.6211,100.0,0.01,99.1631,69.6333,2.88659,4.53432,0.0121746,100.0,84.7362
64,2.23451,kTSC2Phos,1.5,0.5931770000000001,5.80241,0.10293900000000003,22.9482,72.2769,4.1285,4.81971,99.6211,100.0,0.01,99.1631,69.6333,2.88659,4.53432,0.0121746,100.0,84.7362
65,2.23451,kTSC2Phos,1.5,0.5931770000000001,5.80241,0.10293900000000003,22.9482,72.2769,4.1285,4.81971,99.6211,100.0,0.01,99.1631,69.6333,2.88659,4.53432,0.0121746,100.0,84.7362
66,2.23451,kTSC2Phos,1.5,0.5931770000000001,5.80241,0.10293900000000003,22.9482,72.2769,4.1285,4.81971,99.6211,100.0,0.01,99.1631,69.6333,2.88659,4.53432,0.0121746,100.0,84.7362
67,2.23451,kTSC2Phos,1.5,0.5931770000000001,5.80241,0.10293900000000003,22.9482,72.2769,4.1285,4.81971,99.6211,100.0,0.01,99.1631,69.6333,2.88659,4.53432,0.0121746,100.0,84.7362
68,2.23451,kTSC2Phos,1.5,0.5931770000000001,5.80241,0.10293900000000003,22.9482,72.2769,4.1285,4.81971,99.6211,100.0,0.01,99.1631,69.6333,2.88659,4.53432,0.0121746,100.0,84.7362
