,RSS,kAktDephos,kAktPhos_kcat,kAktPhos_kcatB,kFourEBP1Dephos,kFourEBP1Phos,kFourEBP1PhosB,kIRS1Inact,kIRS1Phos,kPras40Dephos,kPras40Phos,kS6KDephos,kS6KPhos,kS6KPhosB,kTORPRAS,kTORTSC,kTSC2Dephos,kTSC2Phos
190,2.23322,9.01408,94.2261,1.65928,1.60867,24.476,0.219559,0.0405728,47.7329,100.0,0.01,20.0672,1.54346,0.0100109,35.2638,7.193860000000001,45.4269,27.4855
191,2.23322,9.39424,98.17,1.72893,15.5786,96.8686,3.17353,2.92746,41.2017,100.0,0.01,27.293000000000006,49.3954,1.1869,7.80585,0.0943071,9.03492,5.4688300000000005
192,2.23322,5.1452300000000015,53.7677,0.946939,1.17383,49.0408,0.25642,7.79873,91.1135,100.0,0.01,0.868891,11.9375,0.045928,49.8603,2.65895,5.70182,3.4513
193,2.23322,9.38119,98.0336,1.72653,14.7473,54.7775,2.76539,1.68327,30.7319,100.0,0.01,24.1437,21.7225,0.801405,5.09596,0.01,28.3448,17.1573
194,2.23322,9.56939,100.0,1.76117,24.4972,43.5679,3.67404,0.100459,6.3765800000000015,100.0,0.01,70.2936,10.7322,0.655619,3.15314,0.01,11.3386,6.86325
195,2.23322,1.7894599999999998,18.6998,0.329334,27.7432,100.0,5.16525,3.99062,74.6982,100.0,0.01,100.0,85.7279,3.23487,4.98646,0.01,90.794,54.9582
196,2.23322,7.28545,76.1329,1.34083,3.58325,21.9176,0.741404,3.73732,50.3483,100.0,0.01,29.226,53.585,1.33039,7.47963,0.01,13.8741,8.39798
197,2.23322,3.86569,40.3964,0.711448,16.419,67.2222,3.14785,5.9035400000000005,99.9999,100.0,0.01,58.6632,61.4316,2.10419,5.47395,0.01,7.27032,4.40073
198,2.23322,9.56932,100.0,1.7611599999999998,16.0956,92.2405,3.2943800000000003,7.18433,99.7595,100.0,0.01,14.863,25.0195,0.655516,7.097760000000001,0.0100039,60.4401,36.5838
199,2.23322,0.129529,1.35352,0.0238369,3.17217,11.5092,0.5538569999999999,1.69347,40.6526,100.0,0.01,0.506416,0.361879,0.012683100000000001,5.56065,0.218388,52.56399999999999,31.8093
