,RSS,AAB,InsulinB,PI3K_T_MCF7,RICTOR_T_MCF7,RPTOR_T_MCF7,kAktByTor2Dephos,kAktByTor2Phos,kAktDephos,kAktPhos_kcat,kFourEBP1Dephos,kFourEBP1Phos,kIRS1Act,kIRS1Inact,kIRS1Phos,kPI3KDephos,kPI3KPhos,kPras40Dephos,kPras40Phos,kRAS,kS6KDephos,kS6KPhos,kTSC2Dephos,kTSC2Phos,kTSC2PhosBoost,kmTORC1Dephos,kmTORC1LysToCyt,kmTORC1Phos,kmTORC1_Dis,kmTORC1cytToLys,kmTORC2Dephos,kmTORC2DephosByS6K,kmTORC2_Dis,kmTOR_RIC_Comb,kmTOR_RPT_Comb,mTOR_T_MCF7
166,0.8493850000000001,0.186809,0.569525,62.0566,52.2307,95.7888,45.5242,0.507877,10.9102,0.012192,41.2014,24.9217,0.331897,2.1109299999999998,100.0,0.11623,0.01,0.262408,0.010338,0.0114878,57.5149,22.8983,0.159197,24.1536,23.4562,53.6388,0.43897700000000006,55.0127,83.6089,34.4614,95.8516,0.010821899999999999,99.3801,42.9713,10.9026,36.315
167,0.8493850000000001,0.365602,0.307043,1.32399,0.749021,1.32854,55.9572,0.752076,0.42821000000000004,0.10762100000000001,7.89715,27.4257,0.010022399999999999,0.01,82.7428,13.6163,1.43615,1.3616,0.08696160000000001,10.4778,65.749,62.9417,72.7062,48.0817,58.0623,3.4147199999999995,95.5864,49.4735,16.5377,2.91278,21.2067,67.2217,1.29035,4.56835,52.8932,75.7707
168,0.8493850000000001,0.303135,0.568334,0.148767,42.9804,31.0798,7.191839999999999,3.89402,0.0605047,9.17497,4.27325,3.3936300000000004,0.29322600000000004,1.61703,27.8671,23.078000000000003,0.0105352,0.08415260000000001,0.163579,0.172979,38.7117,15.6659,0.9666389999999999,2.10453,4.17036,0.0101288,0.0131422,12.9097,16.4036,1.78403,98.2104,0.0401029,86.1665,0.496229,31.2361,10.9214
169,0.8493850000000001,0.259339,0.569227,0.138822,0.0341217,24.3698,52.6224,10.9862,0.6896479999999999,0.225634,15.9566,24.2093,4.408530000000001,20.5537,99.9229,6.11244,0.0102451,1.59158,14.45,0.0100074,77.1849,75.9736,11.7892,83.6307,92.3028,0.391714,94.9784,8.78422,25.9773,7.18168,99.0276,0.013586099999999999,99.9994,97.2587,83.6198,94.1493
170,0.8493850000000001,0.380004,0.5672159999999999,0.01,4.42048,37.1961,18.2139,28.9705,76.1478,2.7179599999999997,2.5647,96.5143,0.0643976,0.399088,99.3224,0.049278800000000005,0.012006999999999999,0.20811100000000002,37.9714,0.0601831,3.44029,46.9466,100.0,7.85389,91.2923,29.5518,6.29509,4.44349,0.7250909999999999,0.029364599999999994,30.3944,0.0137006,23.954,19.1683,1.16069,12.7268
171,0.8493850000000001,0.351123,0.56853,1.12695,19.6424,6.4404,76.2972,0.699721,0.24469699999999997,0.01,3.58745,0.049793300000000006,1.1312,5.63103,96.09200000000001,55.5369,0.19178599999999998,0.9935370000000001,1.18825,0.017489400000000002,18.5459,75.9506,4.5782300000000005,11.7028,6.67972,0.8770479999999999,43.8177,4.03691,45.8332,4.68992,13.107000000000001,0.460178,78.0198,15.4361,8.20393,96.4575
172,0.8494120000000001,0.0243858,0.3092,16.0829,0.021305,6.8787899999999995,91.5298,0.114363,20.0415,0.010320399999999999,0.0847503,0.33729000000000003,0.01,0.010179700000000002,99.9906,0.0100039,0.036390399999999996,0.035541699999999996,20.7484,26.2591,0.07337919999999999,4.1756,0.179882,10.9854,0.0609753,0.10328499999999999,0.0101005,0.0101186,2.0994599999999997,28.4451,0.01,71.7357,50.3939,0.01,0.0100208,14.5497
173,0.8494450000000001,0.19545099999999999,0.57812,0.0120607,0.010044200000000001,98.8674,41.2095,76.8827,1.13,1.88179,2.9315700000000002,67.2707,0.04164419999999999,0.289312,99.5635,0.111899,0.0204896,0.21476199999999998,0.129172,0.0100469,5.95073,97.0334,1.92812,0.0134209,1.44569,56.8286,13.5906,19.9662,13.5901,1.3872200000000001,0.010203100000000001,0.010067200000000002,99.8592,0.144268,90.6336,4.82616
174,0.849453,0.020409599999999996,0.125872,0.0109991,2.24817,0.6069140000000001,20.6484,10.649000000000001,0.0318971,0.010012299999999998,0.5280729999999999,3.47484,7.79325,0.64841,89.2665,68.2916,0.0131773,0.136628,0.101823,13.9956,17.3188,75.09899999999999,18.1496,11.600999999999999,1.47951,4.87165,0.0463907,0.011993799999999999,0.51904,11.2421,2.11904,0.0110861,6.902489999999999,0.632017,0.297809,79.9232
175,0.850392,1.02294,0.164364,0.0100054,6.6121,0.252064,12.5375,14.0361,0.027016000000000002,3.63495,75.9376,0.0100096,100.0,3.08968,100.0,92.6813,0.010071,0.01,0.010000299999999998,4.14818,42.6678,54.7691,0.13422699999999999,93.4212,38.0411,99.9831,69.8379,2.44495,0.18699200000000002,46.3,5.79785,0.0112171,10.4056,6.20098,0.445614,100.0
