,RSS,AAB,InsulinB,PI3K_T_MCF7,PI3K_T_ZR751,RICTOR_T_MCF7,RICTOR_T_ZR751,RPTOR_T_MCF7,RPTOR_T_ZR751,kAktByTor2Dephos,kAktByTor2Phos,kAktDephos,kAktPhos_kcat,kFourEBP1Dephos,kFourEBP1Phos,kIRS1Act,kIRS1Inact,kIRS1Phos,kPI3KDephos,kPI3KPhos,kPras40Dephos,kPras40Phos,kRAS,kS6KDephos,kS6KPhos,kTSC2Dephos,kTSC2Phos,kTSC2PhosBoost,kmTORC1Dephos,kmTORC1LysToCyt,kmTORC1Phos,kmTORC1_Dis,kmTORC1cytToLys,kmTORC2Dephos,kmTORC2DephosByS6K,kmTORC2_Dis,kmTOR_RIC_Comb,kmTOR_RPT_Comb,mTOR_T_MCF7,mTOR_T_ZR751
157,2.2043,0.6159979999999999,0.282231,13.9995,13.0672,15.0214,12.1771,38.591,26.9438,54.338,0.0340449,9.92508,0.750428,47.5671,0.0114649,0.877022,77.3196,100.0,99.9724,0.08142739999999997,0.0100001,3.26914,20.8916,17.2222,45.0425,94.3699,99.9993,99.9726,99.3062,26.2264,68.6517,0.0304332,0.0245361,0.0443586,0.013782399999999998,17.1479,23.4418,7.362999999999999,65.544,99.275
158,2.20433,0.488519,0.278277,31.6949,29.601,37.0059,11.1499,76.8107,33.4699,10.2422,22.6171,44.2138,0.24345,100.0,0.0102639,0.932915,41.1066,99.8734,20.1956,0.0666408,0.01,4.88742,65.4436,51.7124,15.5553,100.0,0.184467,99.5396,3.29469,21.291,4.90692,42.9065,10.8268,0.0894046,0.0106767,52.3847,0.0485204,99.9991,16.5783,14.8561
159,2.20434,0.271508,0.236123,49.0692,45.8156,6.81352,43.959,17.9012,64.7611,84.6597,0.124923,99.6366,7.59457,64.3679,0.0113125,0.0711577,0.411956,6.29983,99.6587,0.148402,0.01,0.5055930000000001,99.3919,3.13482,3.3000800000000003,16.5185,0.132973,85.0447,99.568,10.92,1.1104,3.3190800000000005,14.1045,57.2921,0.0102231,2.42971,4.2847300000000015,9.57949,33.4059,17.71
160,2.21182,0.0110948,0.30101700000000003,14.0093,12.9914,48.3192,6.2188,58.2103,33.9971,6.30477,65.3272,9.96816,4.40706,32.8753,0.0170533,0.582791,100.0,44.2953,100.0,0.359385,0.01,0.124791,1.21923,100.0,2.39986,0.299387,0.015258100000000004,1.53743,96.8502,0.010693799999999998,18.07,1.87144,100.0,85.92,0.0117769,14.7095,21.3144,51.1266,55.3308,99.3664
161,2.22301,0.0152266,0.290244,100.0,85.1249,31.1205,14.5425,72.4055,42.16,77.4769,4.80588,100.0,0.0100006,99.68,2.06002,0.0100006,3.7613,99.9936,100.0,100.0,0.01,100.0,1.2188,22.3628,0.7831600000000001,0.351514,0.010068,100.0,56.925,5.80754,49.2998,0.321083,100.0,1.88995,92.1502,9.8362,100.0,0.01,95.1907,94.1004
162,2.23309,0.010016,0.0111303,53.7756,55.8304,17.1825,13.8967,99.936,99.968,51.9149,0.0529984,98.8599,3.90497,21.2598,71.7612,11.7246,0.4663850000000001,2.83922,100.0,0.322876,0.01,0.351727,80.7921,4.0153,17.0095,0.6650590000000001,100.0,88.6513,89.1868,100.0,84.9796,1.46228,35.9707,0.0100064,3.02345,0.01,99.776,79.9999,65.3654,54.0316
163,2.23591,0.0100006,0.055519500000000006,5.1002,5.29229,22.8224,29.6374,34.2496,61.3594,99.968,0.17694400000000002,48.7761,33.3642,9.56397,37.8173,32.2812,7.737489999999998,39.5372,7.225510000000001,0.01,0.01,0.472035,99.8362,4.96807,24.4769,5.61483,98.4999,22.9266,9.1753,7.016310000000002,83.478,11.759,6.83662,0.01,24.6518,0.461729,3.93252,100.0,77.9007,50.4945
164,2.24976,0.0103904,0.261267,55.0989,56.4572,23.9458,18.0554,61.8485,49.6606,19.3414,0.0624409,28.7834,2.83428,21.5283,39.1504,12.1835,100.0,86.92399999999998,28.5366,0.062752,0.01,0.194051,99.4291,23.2042,52.3893,0.983294,0.121874,42.1049,61.3711,99.8246,35.9121,3.39006,99.8974,0.012545,0.0100007,71.2432,1.07499,41.5014,78.9946,68.3594
165,2.2502,0.0100006,0.277443,75.1371,77.0838,91.3238,10.1711,61.9164,7.174360000000001,58.9097,0.0369279,15.6151,0.167323,2.77983,36.3069,6.7782800000000005,100.0,51.6662,27.5278,0.011542,0.01,6.885560000000001,33.6329,5.99388,97.4192,0.708462,0.0100161,100.0,18.8447,40.0695,82.0437,8.33548,18.5076,0.013162299999999998,0.0104168,26.6779,21.7563,6.41512,15.04,16.823
166,2.25022,0.111843,0.0153564,51.6895,48.5881,89.0079,96.5508,12.6821,8.70157,3.0741,24.2003,99.973,61.703,9.95885,4.467969999999998,19.1952,1.13891,53.4446,28.5587,0.0113001,0.105312,0.256127,22.4499,20.7003,19.0139,0.01,0.0100245,0.0104029,91.1556,21.3398,62.5139,14.5822,99.5336,77.686,62.0971,100.0,13.557,0.142465,52.2728,59.5683
167,2.25126,0.013600799999999998,0.0100618,97.2169,92.4558,0.637785,0.835151,5.97492,4.61054,0.8306120000000001,99.808,7.8479800000000015,12.9364,39.8439,11.7248,50.4751,1.90611,32.1025,30.3843,0.010097,0.01,0.055284,54.9991,36.0704,16.0267,0.01,0.0100032,0.0493788,9.82446,14.3382,64.4531,0.980655,85.0247,29.3007,0.032618,15.3576,0.487625,0.010051799999999998,60.0005,65.692
168,2.25408,0.044478,0.0116832,5.16666,4.91284,80.4787,42.8553,19.0298,13.2377,3.34671,34.9029,5.48519,11.3455,68.5951,0.0181528,44.4278,1.93113,89.29299999999998,100.0,2.28557,0.0153248,0.0121229,17.1113,100.0,11.5834,0.01,0.0101005,0.01,47.1081,5.61915,6.5815800000000015,0.402925,62.2949,12.7412,0.0100332,37.4726,99.9946,93.7824,34.1824,32.5865
169,2.25856,0.0309205,0.026154900000000002,47.0927,44.9437,37.9168,58.1148,43.4597,30.6551,0.463253,38.843,42.2991,0.0634355,20.7607,2.78481,29.7704,3.12273,95.9404,55.8113,0.0990344,0.0386872,22.0808,2.22895,92.9856,38.5096,0.01,0.0236536,0.0463567,86.2064,0.0217776,1.68556,2.82138,46.4712,98.0473,0.0164045,72.4812,17.9918,38.7639,69.3074,61.2964
170,2.26536,0.01,0.01,66.5521,63.142,32.0769,40.4078,32.6303,15.1605,0.926262,9.14124,59.9714,0.01,74.9289,4.85745,20.1853,0.779886,19.1604,99.9592,0.0202225,0.0133216,0.0185094,29.3117,60.6502,5.66907,0.0100002,34.6855,0.0492033,99.985,0.0140001,49.1131,2.1368,99.9997,100.0,0.0104739,26.2626,13.8447,0.246209,48.5998,74.5416
171,2.26725,0.161143,0.01,8.683760000000001,8.29996,27.227,28.9231,26.6914,21.2964,1.85241,25.2376,35.7876,0.01,7.8097,16.8785,14.1559,0.5529810000000001,14.5168,53.3222,0.01,0.0701534,48.1004,18.0007,15.5734,48.8786,0.01,0.184401,0.0365985,56.0825,0.0220189,3.5632900000000003,24.367,43.4585,2.87348,100.0,33.8013,100.0,15.0815,18.0901,17.1183
172,2.27539,0.202975,0.0102402,57.9858,53.2483,97.5104,12.3104,13.2669,9.2976,4.82877,95.5052,100.0,1.62752,100.0,0.01,3.22738,0.125554,8.31504,22.3603,0.105501,0.012288,0.709866,5.07215,97.7611,30.2986,0.01,0.0103523,0.251803,3.6812,4.85662,0.208039,0.0100064,7.71882,5.935980000000002,0.0100167,6.63628,25.5404,98.8802,20.6521,21.2725
173,2.27567,0.0101632,0.200745,43.4602,41.1109,56.9132,27.7835,44.7686,34.9032,44.3214,0.305287,19.3623,0.0222367,100.0,0.01,1.63436,99.776,97.888,100.0,0.011051299999999998,98.4,0.130804,98.1137,94.9337,0.641846,0.0100032,16.8264,100.0,14.6968,12.6645,100.0,0.107688,98.1524,37.1022,0.07096799999999999,12.9918,100.0,13.0876,50.681,43.5169
174,2.27741,0.01,0.0100256,7.01253,6.52681,12.6,23.8683,24.4301,20.4678,0.164211,100.0,9.70612,0.69412,99.2612,0.053059,3.45007,0.129651,6.69025,68.8543,0.453513,0.0190216,0.8589100000000001,2.92932,43.4809,100.0,0.01,0.0100128,0.181845,100.0,0.0100275,0.569596,1.7087,100.0,93.7113,0.0100064,7.589689999999999,13.2827,11.7777,18.1116,15.0843
175,2.28148,0.312329,0.010064,95.035,87.5665,50.4349,58.5157,57.8755,32.587,1.61422,14.7955,24.5425,0.394336,32.5817,76.4216,22.2215,0.8369280000000001,35.2713,28.2094,0.0988807,0.010896,0.53105,24.1712,14.5034,94.5934,0.01,0.0106498,0.331199,94.528,98.9392,0.745147,61.7787,100.0,54.8111,0.0153112,99.296,92.1012,2.8048900000000003,69.7198,80.253
176,2.28669,0.324337,0.01,56.407,51.5645,25.3601,46.1909,31.7998,67.6111,12.5744,100.0,87.8959,0.827303,92.7885,78.6791,100.0,3.89212,99.6004,5.32014,0.0100736,0.321624,3.02504,14.8791,36.6776,38.9269,0.699653,0.01,0.698487,100.0,0.772238,12.251,100.0,32.0365,10.0615,0.0143053,30.3591,14.4364,16.4529,71.5989,46.9167
177,2.28959,0.0217146,0.01,9.53829,8.79901,8.102030000000001,9.85335,17.0778,12.5378,0.26195,99.8651,66.9579,72.1585,99.9998,1.0889,10.8664,0.407226,17.6516,100.0,0.0201301,0.01,1.37691,1.23235,99.9912,5.63474,84.3293,0.0104,1.31748,100.0,5.19191,30.8726,0.0100016,100.0,55.0002,0.01,3.05879,99.0529,91.6865,99.9392,53.2011
178,2.28963,0.130408,0.01,89.6452,82.6721,37.472,38.8109,12.2124,0.607612,0.381667,97.6194,99.6548,78.9135,14.7805,10.649,25.6735,0.962615,29.527,88.1004,0.0104186,0.01,0.340337,0.91555,16.435,26.9011,91.7885,0.0147915,1.31958,83.6211,56.8204,100.0,9.20071,100.0,99.8086,0.0101711,13.0539,48.215,0.284183,33.3898,100.0
179,2.29088,0.197924,0.01,43.0771,39.5818,13.2198,24.7681,6.4223300000000005,5.40056,0.08092139999999999,45.9063,9.44707,0.661432,100.0,0.0174159,7.07228,0.267669,20.883000000000006,7.31889,0.01,0.01,0.720508,0.341819,4.67776,4.25202,99.6188,0.0989121,1.30621,46.0828,49.2249,1.63269,8.85772,99.9851,0.022446200000000003,0.0100007,38.9114,99.3773,81.3404,96.0192,21.3311
180,2.2909,0.0910449,0.01,18.362,16.8741,45.7046,55.0832,16.6724,12.0782,0.308912,31.611,95.6229,4.39842,99.9711,0.021286000000000003,9.94332,0.3761,27.7011,89.4303,0.0680294,0.01,4.63325,2.71632,37.7715,45.6254,57.0964,0.0550391,1.30494,47.4254,10.6302,0.412947,8.47996,100.0,92.2725,0.014984,95.4452,97.9505,9.44252,92.7122,100.0
181,2.2909900000000003,0.6121270000000001,0.01,9.97063,9.15884,38.6277,33.7571,20.8744,14.6053,0.551975,99.9985,22.1113,0.66203,95.7345,0.0177822,5.224069999999998,0.197762,14.8591,100.0,0.5010760000000001,0.01,1.99218,1.70977,18.5781,99.9846,37.5646,0.0198936,1.30568,44.7706,75.7735,45.9638,0.5449430000000001,0.0512359,99.5987,0.0202888,19.1883,11.6561,68.7231,49.0726,60.2312
